phone,full_name,building,unit,gender,card_last4,amount,month,status,attempts,handed_over,do_not_call,alt_payment
+972501234567,שחר כהן,הרצל 14,12,m,4821,450,יולי,unpaid,0,TRUE,FALSE,"העברה בנקאית לחשבון הומיז, בנק לאומי, סניף 800, חשבון 12345678"
+972521234568,שרה לוי,הרצל 14,7,f,7355,450,יולי,unpaid,1,TRUE,FALSE,"העברה בנקאית לחשבון הומיז, בנק לאומי, סניף 800, חשבון 12345678"
+972531234569,משה מזרחי,ביאליק 8,3,m,,380,יולי,unpaid,0,TRUE,FALSE,
+972541234570,רחל פרץ,ביאליק 8,15,f,1190,380,יולי,unpaid,2,TRUE,FALSE,"העברה בנקאית לחשבון הומיז, בנק לאומי, סניף 800, חשבון 12345678"
+972551234571,יוסי אברהם,רוטשילד 22,4,m,6042,520,יולי,unpaid,0,TRUE,FALSE,
+972581234572,מיכל דהן,רוטשילד 22,9,f,8877,520,יולי,paid,0,TRUE,FALSE,"העברה בנקאית לחשבון הומיז, בנק לאומי, סניף 800, חשבון 12345678"
+972501234573,אבי ביטון,ז'בוטינסקי 5,2,unknown,2314,610,יולי,unpaid,0,TRUE,FALSE,"העברה בנקאית לחשבון הומיז, בנק לאומי, סניף 800, חשבון 12345678"
+972521234574,נועה שפירא,ז'בוטינסקי 5,11,f,,610,יולי,unpaid,0,FALSE,FALSE,
+972531234575,איתי גולן,בן גוריון 30,6,m,9506,295,יולי,unpaid,1,TRUE,TRUE,"העברה בנקאית לחשבון הומיז, בנק לאומי, סניף 800, חשבון 12345678"
+972541234576,טל אזולאי,בן גוריון 30,18,unknown,,295,יולי,unpaid,4,TRUE,FALSE,
